Year,D Overall Balance (A-B+C),A Current Account Balance,Goods Balance,Exports Of Goods,Imports Of Goods,Services Balance,Exports Of Services,Manufacturing Services On Physical Inputs Owned By Others,Maintenance And Repair Services,Transport,Freight,Others,Travel,Insurance,Government Goods And Services,Construction,Financial,"Telecommunications, Computer & Information",Charges For The Use Of Intellectual Property,"Personal, Cultural And Recreational",Other Business Services,Accounting,Advertising And Market Research,Architectural,Business Management,Engineering And Technical,Legal,Research And Development,Operating Leasing,Trade-Related,Imports Of Services,Primary Income Balance,Primary Income Receipts,Primary Income Payments,Secondary Income Balance,Secondary Income Receipts,Secondary Income Payments,B Capital & Financial Account Balance,Financial Account (Net),Direct Investment,Assets,Liabilities,Portfolio Investment,"Deposit-Taking Corporations, Except The Central Bank",Official,Financial Derivatives,Other Investment,C Net Errors & Omissions,E Reserve Assets,Special Drawing Rights,Reserves Position In The IMF,Foreign Exchange Assets,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport_y,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education",Enrichment & Supplementary Courses,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
1980,1419.3,-3453.6,-5981.8,42736.5,48718.3,4190.5,9521.7,na,na,1741.2,na,na,3146.9,68.1,162,na,na,na,na,na,4403.5,na,na,na,na,na,na,na,na,na,5331.2,-1326.9,1826.9,3153.8,-335.4,na,na,-3388.1,-3388.1,-2437,na,na,-27.3,na,na,na,-923.8,1484.8,1419.3,24.3,33.8,1361.2,50.317,49.687,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,83.202,na,na,na,na,na,na,na,na,na,50.156,na,na,na,na,na,na,65.815,na,na,na,na,na,na,na,na,na,31.315,na,na,na,na,na,na,na,na,na,na,na,42.146,na,na,na,na,na,na,na,na,na,na,na,na,139.199,na,na,na,65.411,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,21.133,na,na,na,na,na,na,36.505,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1981,1920.8,-3257.7,-9555.4,45732.1,55287.5,8519.5,14420.3,na,na,2039.1,na,na,3872.2,21.7,191.1,na,na,na,na,na,8296.2,na,na,na,na,na,na,na,na,na,5900.8,-1745.9,1956.3,3702.2,-475.9,na,na,-4578.4,-4578.4,-3538.2,na,na,101.1,na,na,na,-1141.3,600.1,1920.8,15.3,46.9,1858.6,54.437,54.563,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,84.703,na,na,na,na,na,na,na,na,na,52.79,na,na,na,na,na,na,68.291,na,na,na,na,na,na,na,na,na,33.277,na,na,na,na,na,na,na,na,na,na,na,46.887,na,na,na,na,na,na,na,na,na,na,na,na,139.199,na,na,na,71.243,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,22.489,na,na,na,na,na,na,39.245,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1982,2517.5,-2884.6,-10646.9,46218.7,56865.6,10024.3,16766.3,na,na,2142.9,na,na,4130.6,32.1,205.3,na,na,na,na,na,10255.4,na,na,na,na,na,na,na,na,na,6742,-1712.3,2127.6,3839.9,-549.7,na,na,-4940.6,-4940.6,-2777,na,na,61.3,na,na,na,-2224.9,461.5,2517.5,51.9,10.1,2455.5,56.57,57.247,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,85.067,na,na,na,na,na,na,na,na,na,54.741,na,na,na,na,na,na,69.64,na,na,na,na,na,na,na,na,na,35.044,na,na,na,na,na,na,na,na,na,na,na,48.178,na,na,na,na,na,na,na,na,na,na,na,na,139.199,na,na,na,72.079,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,22.9,na,na,na,na,na,na,41.335,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1983,2237.7,-1379.5,-9090.5,47178.6,56269.1,9312.8,16327.1,na,na,2154.9,na,na,4313.2,61,202.4,na,na,na,na,na,9595.6,na,na,na,na,na,na,na,na,na,7014.3,-1058.2,2159.5,3217.7,-543.6,na,na,-5204.4,-5204.4,-2291.7,na,na,102.5,na,na,na,-3015.2,-1587.2,2237.7,23.4,1.8,2212.5,57.157,57.352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,85.02,na,na,na,na,na,na,na,na,na,55.202,na,na,na,na,na,na,70.402,na,na,na,na,na,na,na,na,na,37.824,na,na,na,na,na,na,na,na,na,na,na,48.739,na,na,na,na,na,na,na,na,na,na,na,na,139.199,na,na,na,72.242,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,23.578,na,na,na,na,na,na,43.427,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1984,3250.6,-859,-5478.4,52336.6,57815,5396.8,12956.5,na,na,2239.8,na,na,4063.4,75,220.1,na,na,na,na,na,6358.2,na,na,na,na,na,na,na,na,na,7559.7,-264.7,2748,3012.7,-512.7,na,na,-3369.9,-3369.9,-2579.7,na,na,323.3,na,na,na,-1113.5,739.7,3250.6,-3.6,1.3,3252.9,58.645,58.227,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,84.674,na,na,na,na,na,na,na,na,na,57.137,na,na,na,na,na,na,70.492,na,na,na,na,na,na,na,na,na,42.312,na,na,na,na,na,na,na,na,na,na,na,50.863,na,na,na,na,na,na,na,na,na,na,na,na,139.199,na,na,na,72.938,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,24.83,na,na,na,na,na,na,46.786,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1985,2941.7,44.7,-3341.5,50940.7,54282.2,3464,11261.6,na,na,2155.2,na,na,3744.1,103,205.5,na,na,na,na,na,5053.8,na,na,na,na,na,na,na,na,na,7797.6,337.9,3273.8,2935.9,-415.7,na,na,-1536.9,-1536.9,-1779.7,na,na,-384.6,na,na,na,627.4,1360.1,2941.7,17.6,26,2898.1,58.933,57.541,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,82.532,na,na,na,na,na,na,na,na,na,59.136,na,na,na,na,na,na,70.68,na,na,na,na,na,na,na,na,na,42.909,na,na,na,na,na,na,na,na,na,na,na,53.6,na,na,na,na,na,na,na,na,na,na,na,na,122.184,na,na,na,72.897,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,25.647,na,na,na,na,na,na,47.563,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1986,1208.6,732.9,-2049,49433.2,51482.2,3126.7,11386.9,na,na,2136,na,na,3939,176.8,199.2,na,na,na,na,na,4935.9,na,na,na,na,na,na,na,na,na,8260.2,13.3,4093.6,4080.3,-358.1,na,na,1869.7,1869.7,-3706,na,na,1195.2,na,na,na,4380.5,2345.4,1208.6,31.4,24.8,1152.4,58.12,56.684,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,80.644,na,na,na,na,na,na,na,na,na,57.788,na,na,na,na,na,na,70.768,na,na,na,na,na,na,na,na,na,42.755,na,na,na,na,na,na,na,na,na,na,na,51.612,na,na,na,na,na,na,na,na,na,na,na,na,116.512,na,na,na,73.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,27.459,na,na,na,na,na,na,47.754,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1987,2328.5,-217,-2409.9,61203.6,63613.5,3761.9,13499.1,na,na,2517.3,na,na,4597.3,212.1,189.9,na,na,na,na,na,5982.5,na,na,na,na,na,na,na,na,na,9737.2,-1192.5,5013.9,6206.4,-376.5,na,na,2475.1,2475.1,-5538.8,na,na,-530.8,na,na,na,8544.7,5020.6,2328.5,29.1,11.7,2287.7,58.401,56.595,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,80.951,na,na,na,na,na,na,na,na,na,56.905,na,na,na,na,na,na,71.2,na,na,na,na,na,na,na,na,na,43.247,na,na,na,na,na,na,na,na,na,na,na,52.2,na,na,na,na,na,na,na,na,na,na,na,na,116.846,na,na,na,74.461,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,28.268,na,na,na,na,na,na,50.329,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1988,3343.6,3918,-19.6,81836.1,81855.7,5128.3,16860.9,na,na,3202.2,na,na,5377.5,198.2,192.9,na,na,na,na,na,7890.1,na,na,na,na,na,na,na,na,na,11732.6,-728.3,6444.3,7172.6,-462.4,na,na,3115.3,3115.3,-7118.5,na,na,589.6,na,na,na,9644.2,2540.9,3343.6,8.2,-12.2,3347.6,59.29,57.382,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,83.712,na,na,na,na,na,na,na,na,na,56.9,na,na,na,na,na,na,72.102,na,na,na,na,na,na,na,na,na,44.16,na,na,na,na,na,na,na,na,na,na,na,52.737,na,na,na,na,na,na,na,na,na,na,na,na,116.846,na,na,na,76.565,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,30.216,na,na,na,na,na,na,51.188,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1989,5334.2,5808.4,-690.2,89046,89736.2,7445.6,20877.5,na,na,3584,na,na,6550.9,186.4,172.9,na,na,na,na,na,10383.3,na,na,na,na,na,na,na,na,na,13431.9,-372.8,7508.7,7881.5,-574.2,na,na,-3068.1,-3068.1,-3909.1,na,na,147.4,na,na,na,693.6,-3542.3,5334.2,-9.2,-4.5,5347.9,60.65,58.039,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,85.249,na,na,na,na,na,na,na,na,na,57.913,na,na,na,na,na,na,73.265,na,na,na,na,na,na,na,na,na,45.163,na,na,na,na,na,na,na,na,na,na,na,55.494,na,na,na,na,na,na,na,na,na,na,na,na,122.449,na,na,na,78.596,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,31.843,na,na,na,na,na,na,52.867,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1990,9892.5,5695.7,-3037.3,99028.5,102065.8,10123.8,25878.6,na,na,4033.4,na,na,8427.8,160.3,166.8,na,na,na,na,na,13090.3,na,na,na,na,na,na,na,na,na,15754.8,-708.7,9440.7,10149.4,-682.1,na,na,-6009.8,-6009.8,-6418.1,na,na,1880.4,na,na,na,-1472.1,-1813,9892.5,3.5,-29.2,9918.2,62.743,58.489,58.259,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,58.218,na,na,na,na,na,na,85.986,na,na,na,na,na,na,na,na,na,62.102,na,na,na,na,na,na,75.765,na,na,na,na,na,na,na,na,na,47.407,na,na,na,na,na,na,na,na,na,na,na,60.144,na,na,na,na,na,na,na,na,na,na,na,na,125.254,na,na,na,80.047,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,34.469,na,na,na,na,na,na,54.662,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1991,7262.8,8419.6,-268.9,105876.9,106145.8,10640,26504,na,na,4348.9,na,na,7973.8,197.4,161.7,na,na,na,na,na,13822.2,na,na,na,na,na,na,na,na,na,15864,-1186.5,10720.9,11907.4,-765,na,na,-2429.9,-2429.9,-7534.3,na,na,1566.9,na,na,na,3537.5,-3586.7,7262.8,-11.3,-29.9,7304,64.901,59.412,58.934,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,59.385,na,na,na,na,na,na,87.501,na,na,na,na,na,na,na,na,na,63.528,na,na,na,na,na,na,76.266,na,na,na,na,na,na,na,na,na,51.246,na,na,na,na,na,na,na,na,na,na,na,64.685,na,na,na,na,na,na,na,na,na,na,na,na,126.205,na,na,na,83.199,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,38.204,na,na,na,na,na,na,58.074,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1992,9959,9535.5,-3047.8,108351.8,111399.6,13356.8,28986.2,na,na,4505.5,na,na,9333.4,273.4,160,na,na,na,na,na,14713.9,na,na,na,na,na,na,na,na,na,15629.4,50.7,11071.8,11021.1,-824.2,na,na,-2938.5,-2938.5,-1445.5,na,na,-4055.8,na,na,na,2562.8,-2515,9959,-77.4,117.4,9919,66.357,60.127,59.549,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,60.195,na,na,na,na,na,na,89.624,na,na,na,na,na,na,na,na,na,65.162,na,na,na,na,na,na,78.07,na,na,na,na,na,na,na,na,na,52.517,na,na,na,na,na,na,na,na,na,na,na,66.741,na,na,na,na,na,na,na,na,na,na,na,na,126.205,na,na,na,85.163,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,40.691,na,na,na,na,na,na,60.027,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1993,12153.7,6636.4,-4490.5,125713.1,130203.6,14170.1,32580.1,na,na,5127.7,na,na,10334.5,423,161.1,na,na,na,na,na,16533.8,na,na,na,na,na,na,na,na,na,18410,-2067.5,10818.9,12886.4,-975.7,na,na,-256.8,-256.8,-4095.1,na,na,8023.9,na,na,na,-4185.6,5260.5,12153.7,14,91.6,12048.1,67.878,60.707,59.548,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,61.353,na,na,na,na,na,na,90.824,na,na,na,na,na,na,na,na,na,67.547,na,na,na,na,na,na,79.315,na,na,na,na,na,na,na,na,na,54.229,na,na,na,na,na,na,na,na,na,na,na,68.75,na,na,na,na,na,na,na,na,na,na,na,na,125.22,na,na,na,86.696,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,42.421,na,na,na,na,na,na,64.044,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1994,7301.7,17205.1,1967.5,149464.6,147497.1,16232.9,37595,na,na,6174.4,na,na,10357.9,503.8,159.9,na,na,na,na,na,20399,na,na,na,na,na,na,na,na,na,21362.1,146.2,12855,12708.8,-1141.5,na,na,14155.8,14155.8,-6068.7,na,na,11801.3,na,na,na,8423.2,4252.4,7301.7,-74.1,23.7,7352.1,69.978,62.855,61.41,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,63.761,na,na,na,na,na,na,92.928,na,na,na,na,na,na,na,na,na,68.477,na,na,na,na,na,na,80.056,na,na,na,na,na,na,na,na,na,55.748,na,na,na,na,na,na,na,na,na,na,na,73.989,na,na,na,na,na,na,na,na,na,na,na,na,125.369,na,na,na,87.776,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,43.789,na,na,na,na,na,na,65.856,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
